Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
5,M197,P.S. 197 - MANHATTAN,SCA IEH,"PO18-ROOMS 107,125,221.227,229 NEEDS TESTING AND ABATEMENT 9X9  FLOOR TILES",Construction,In-Progress,2/12/2024,IEH,,IEH,0.00,0.00,SCA0000072728
5,M197,P.S. 197 - MANHATTAN,DIIT - Project Connect,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,11/1/2019,DIIT,,DIIT,263698.00,,DSF0000960032
5,M197,P.S. 197 - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,55000.00,,DSF0001035722
5,M197,P.S. 197 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,,DSF0001086263
5,M200,P.S. 200 - MANHATTAN,DIIT - RESOA,RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,,DSF0001085319
5,M200,P.S. 200 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.00,,DSF0001086267
5,M200,P.S. 200 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,3/29/2024,DOES,,DOES,65832.00,,DSF0001084249
5,M223,I.S. 223 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,3/19/2018,EMER,,EMER,,0.00,SCA0000050925
5,M223,I.S. 223 - MANHATTAN,DIIT - RESOA,FY12 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,1000.00,DSF0000732158
5,M223,I.S. 223 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,,DSF0001033192
5,M223,I.S. 223 - MANHATTAN,DOE - RESOA,FY15 RESO A SCIENCE LAB CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,,DSF0000800072
5,M223,I.S. 223 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,,DSF0001086269
5,M371,P.S. 318 - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,12/21/2023,DIIR,,DIIR,60000.00,59500.00,DSF0001035739
5,M371,P.S. 318 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,,DSF0001086279
5,M484,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,175000.00,,DSF0001035758
5,M501,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,2/27/2023,7/27/2023,12/14/2023,457783,3658.00,3658.00,"DSF0001083743, DSF0001085799, DSF0001098324, DSF0001098318"
5,M501,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,In-Progress,1/10/2024,8/12/2024,,2288918,2288918.00,14625.00,"DSF0001083743, DSF0001085799, DSF0001098324, DSF0001098318"
5,M501,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,51500661,51500661.00,110015.00,"DSF0001083743, DSF0001085799, DSF0001098324, DSF0001098318"
5,M501,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",PNS,PNS,PNS,PNS,3204486,3204486.00,35659.00,"DSF0001083743, DSF0001085799, DSF0001098324, DSF0001098318"
5,M501,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,DOE - Skilled Trades,CAFETERIA SERVING LINE,Construction,In-Progress,11/21/2022,DOES,,DOES,568857.00,559114.00,DSF0001034908
5,M911,HARLEM RENAISSANCE HS - M,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,5/18/2021,10/1/2021,1/14/2022,80048,189522.00,186420.00,"DSF0000994755, DSF0000994757, DSF0000994758, DSF0000994759"
5,M911,HARLEM RENAISSANCE HS - M,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2/2/2022,7/5/2022,5/9/2022,395977,291360.00,236656.00,"DSF0000994755, DSF0000994757, DSF0000994758, DSF0000994759"
5,M911,HARLEM RENAISSANCE HS - M,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,7/18/2023,7/16/2025,,8541042,7867025.00,437395.00,"DSF0000994755, DSF0000994757, DSF0000994758, DSF0000994759"
5,M911,HARLEM RENAISSANCE HS - M,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,7/18/2023,7/16/2025,,592275,285141.00,279603.00,"DSF0000994755, DSF0000994757, DSF0000994758, DSF0000994759"
5,M911,HARLEM RENAISSANCE HS - M,DOE - RESOA,FY23 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,128087.00,,DSF0001035787
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,FY19 RESO A PLAYGROUND UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0000890677
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,FY19 RESO A PLAYGROUND UPGRADES,Design,PNS,PNS,PNS,PNS,16500,0.00,0.00,DSF0000890677
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,FY19 RESO A PLAYGROUND UPGRADES,Construction,PNS,PNS,PNS,PNS,242000,242000.00,0.00,DSF0000890677
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,FY19 RESO A PLAYGROUND UPGRADES,"CM,F&E",PNS,PNS,PNS,PNS,16500,16500.00,0.00,DSF0000890677
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0000961367
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,12000,12000.00,0.00,DSF0000961367
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,176000,176000.00,0.00,DSF0000961367
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,12000,12000.00,0.00,DSF0000961367
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001007750
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001007750
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001007750
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001007750
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,165000.00,49356.00,DSF0001033229
5,M916,TEACHER'S COLLEGE COMMUNITY SCHOOL- M,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,175000.00,,DSF0001035788
5,M970,THURGOOD MARSHALL ACADEMY - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,10/17/2022,2/17/2023,11/10/2022,3672,2273.00,2273.00,DSF0001034596
5,M970,THURGOOD MARSHALL ACADEMY - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,11/10/2022,5/10/2023,1/18/2023,16523,9093.00,9093.00,DSF0001034596
5,M970,THURGOOD MARSHALL ACADEMY - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/20/2023,6/18/2024,,212964,195815.00,24897.00,DSF0001034596
5,M970,THURGOOD MARSHALL ACADEMY - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/20/2023,6/18/2024,,113184,102502.00,76889.00,DSF0001034596
5,M970,THURGOOD MARSHALL ACADEMY - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,11/3/2023,DIIR,,DIIR,75000.00,1.00,DSF0001035790
5,M970,THURGOOD MARSHALL ACADEMY - MANHATTAN,DIIT - RESOA,RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,,DSF0001085320
5,M970,THURGOOD MARSHALL ACADEMY - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,175000.00,,DSF0001086337
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001111873
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,32829,32829.00,0.00,DSF0001111873
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,481496,481496.00,0.00,DSF0001111873
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,32829,32829.00,0.00,DSF0001111873
6,M004,P.S. 4 - MANHATTAN,DOE - RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,16562.00,,DSF0001035610
6,M004,P.S. 4 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,130000.00,,DSF0001035611
6,M004,P.S. 4 - MANHATTAN,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,,DSF0001086166
6,M004,P.S. 4 - MANHATTAN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE  RAMPS,Construction,In-Progress,6/11/2021,DOES,,DOES,672485.00,74886.00,DSF0000911919
6,M004,P.S. 4 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,1/5/2024,DOES,2/15/2024,DOES,50832.00,,DSF0001084178
6,M005,P.S. 5 - MANHATTAN,DOE - RESOA,FY21 RESO A CAFETERIA UPGRADE,Construction,In-Progress,12/22/2022,DOER,,DOER,136794.00,,DSF0000961334
6,M005,P.S. 5 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,650000.00,,DSF0001035612
6,M005,P.S. 5 - MANHATTAN,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,,DSF0001035210
6,M005,P.S. 5 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/6/2023,DOES,1/11/2024,DOES,50832.00,,DSF0001084179
6,M008,P.S. 8 - MANHATTAN,SCA CIP RESOA,FY23 RESO A IPDVS CAMERA INSTALLATION,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035614
6,M008,P.S. 8 - MANHATTAN,SCA CIP RESOA,FY23 RESO A IPDVS CAMERA INSTALLATION,Design,PNS,PNS,PNS,PNS,15000,15000.00,0.00,DSF0001035614
6,M008,P.S. 8 - MANHATTAN,SCA CIP RESOA,FY23 RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,220000,220000.00,0.00,DSF0001035614
6,M008,P.S. 8 - MANHATTAN,SCA CIP RESOA,FY23 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,15000,15000.00,0.00,DSF0001035614
6,M008,P.S. 8 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,250000,250000.00,0.00,DSF0000913869
6,M008,P.S. 8 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,500000.00,,DSF0001008524
6,M008,P.S. 8 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,10/28/2021,DOES,,DOES,112875.00,111357.00,DSF0001009125
6,M008,P.S. 8 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/10/2023,DOES,11/28/2023,DOES,50832.00,,DSF0001084181
6,M028,P.S. 28 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / WATER SERVICE UPGRADE,Scope,Complete,10/12/2018,3/19/2019,1/3/2019,100324,113700.00,113700.00,"DSF0000890600, DSF0000878933, DSF0000912179"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / WATER SERVICE UPGRADE,Design,Complete,1/4/2019,6/6/2019,5/7/2019,404183,489283.00,487522.00,"DSF0000890600, DSF0000878933, DSF0000912179"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / WATER SERVICE UPGRADE,Construction,Complete,8/12/2019,8/10/2021,6/1/2023,7426106,7313434.00,6935246.00,"DSF0000890600, DSF0000878933, DSF0000912179"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / WATER SERVICE UPGRADE,"CM,F&E",Complete,8/12/2019,8/10/2021,6/1/2023,503306,1065154.00,1057670.00,"DSF0000890600, DSF0000878933, DSF0000912179"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,3/7/2023,7/21/2023,6/26/2023,20595,12792.00,2578.00,"DSF0001083877, DSF0001085604"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,7/17/2023,12/18/2023,12/15/2023,97886,79018.00,10876.00,"DSF0001083877, DSF0001085604"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,1762551,1762551.00,4968.00,"DSF0001083877, DSF0001085604"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,182299,182299.00,8379.00,"DSF0001083877, DSF0001085604"
6,M028,P.S. 28 - MANHATTAN,SCA IEH,"PO18-ABATE AND REPLACE FLOOR TILES IN THE FOLLOWING LOCATIONS: BASEMENT STAIRWAY A, BASEMENT STAIRWA",Construction,Complete,8/8/2023,IEH,10/22/2023,IEH,57159.00,56584.00,SCA0000072208
6,M028,P.S. 28 - MANHATTAN,SCA IEH,PO18-ROOM 306B ASBESTOS ABATEMENT  AREA TESTED POSITIVE. D75 SCHOOL MOVING IN BMURPHY16@ SCHOOLS.NYC,Construction,In-Progress,8/28/2023,IEH,,IEH,807.00,57.00,SCA0000072240
6,M028,P.S. 28 - MANHATTAN,SCA IEH,"PO18-ABATE & REPLACE  9X9 FLOOR  TILES AND MISS MATCHED FLOOR TILE. 1ST FLOOR 1,284 SQ FT.,   3RD FL",Construction,In-Progress,3/11/2024,IEH,,IEH,123.00,123.00,SCA0000072808
6,M028,P.S. 28 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,65000.00,65000.00,DSF0000961380
6,M028,P.S. 28 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,,DSF0001035622
6,M048,P.S. 48 - MANHATTAN,SCA CIP,CERTIFICATE OF OCCUPANCY,Scope,Complete,9/7/2016,12/8/2016,10/27/2017,18951,130995.00,36125.00,DSF0000844690
6,M048,P.S. 48 - MANHATTAN,SCA CIP,CERTIFICATE OF OCCUPANCY,Design,Complete,11/7/2017,5/14/2018,5/22/2018,75804,105669.00,104340.00,DSF0000844690
6,M048,P.S. 48 - MANHATTAN,SCA CIP,CERTIFICATE OF OCCUPANCY,Construction,PNS,PNS,PNS,PNS,1421328,1421328.00,28329.00,DSF0000844690
6,M048,P.S. 48 - MANHATTAN,SCA CIP,CERTIFICATE OF OCCUPANCY,"CM,F&E",PNS,PNS,PNS,PNS,88438,88438.00,22947.00,DSF0000844690
6,M048,P.S. 48 - MANHATTAN,SCA CIP,FIRE ALARM / ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL SERVICE UPGRADE,Scope,Complete,1/17/2023,5/16/2023,9/26/2023,375890,16744.00,2669.00,"DSF0001017700, DSF0001068448, DSF0001085132, DSF0001111793"
6,M048,P.S. 48 - MANHATTAN,SCA CIP,FIRE ALARM / ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL SERVICE UPGRADE,Design,In-Progress,10/4/2023,5/6/2024,,1879453,1879453.00,10676.00,"DSF0001017700, DSF0001068448, DSF0001085132, DSF0001111793"
6,M048,P.S. 48 - MANHATTAN,SCA CIP,FIRE ALARM / ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL SERVICE UPGRADE,Construction,PNS,PNS,PNS,PNS,42287694,42287694.00,168787.00,"DSF0001017700, DSF0001068448, DSF0001085132, DSF0001111793"
6,M048,P.S. 48 - MANHATTAN,SCA CIP,FIRE ALARM / ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL SERVICE UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,2631234,2631234.00,82667.00,"DSF0001017700, DSF0001068448, DSF0001085132, DSF0001111793"
6,M048,P.S. 48 - MANHATTAN,SCA Furniture & Equipment,RESO A STEM CENTER UPGRADE,F&E,PNS,PNS,PNS,PNS,550000,550000.00,545520.00,DSF0000960892
6,M048,P.S. 48 - MANHATTAN,DIIT - Project Connect,NEXT GENERATION NETWORK UPGRADE,Purch & Install,Complete,3/1/2019,DIIT,2/5/2024,DIIT,435683.00,269988.00,DSF0000960607
6,M048,P.S. 48 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/1/2023,DIIR,10/25/2023,DIIR,150000.00,149461.00,DSF0001033155
6,M048,M138 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,59000.00,,DSF0001035637
6,M048,M138 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,59000.00,,DSF0001035689
6,M048,P.S. 48 - MANHATTAN,DOE - RESOA,FY21 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,6/23/2023,DOER,,DOER,191529.00,,DSF0001008525
6,M048,P.S. 48 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,1/19/2024,DOER,,DOER,200000.00,9025.00,DSF0001086188
6,M048,P.S. 48 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,12/11/2023,DOES,12/29/2023,DOES,50832.00,,DSF0001084196
6,M052,J.H.S. 52 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/29/2021,10/28/2021,7/27/2021,2596,12298.00,12298.00,DSF0000960791
6,M052,J.H.S. 52 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/27/2021,1/25/2022,12/15/2021,11682,49202.00,49202.00,DSF0000960791
6,M052,J.H.S. 52 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,7/15/2022,4/10/2023,,150568,140015.00,113142.00,DSF0000960791
6,M052,J.H.S. 52 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,7/15/2022,4/10/2023,,185440,181673.00,166791.00,DSF0000960791
6,M052,J.H.S. 52 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,Scope,Complete,1/20/2023,6/6/2023,11/1/2023,227813,159782.00,56910.00,"DSF0001068467, DSF0001068464, DSF0001111798, DSF0001111797, DSF0001111796"
6,M052,J.H.S. 52 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,Design,In-Progress,11/20/2023,4/23/2024,,1131655,1131655.00,165267.00,"DSF0001068467, DSF0001068464, DSF0001111798, DSF0001111797, DSF0001111796"
6,M052,J.H.S. 52 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,24821735,24821735.00,522.00,"DSF0001068467, DSF0001068464, DSF0001111798, DSF0001111797, DSF0001111796"
6,M052,J.H.S. 52 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,1650221,1650221.00,12719.00,"DSF0001068467, DSF0001068464, DSF0001111798, DSF0001111797, DSF0001111796"
6,M052,J.H.S. 52 - MANHATTAN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,62000,62000.00,0.00,DSF0001086192
6,M052,J.H.S. 52 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,125000.00,,DSF0001033156
6,M052,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGY (PTECH),DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,,DSF0001035215
6,M052,J.H.S. 52 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,,DSF0001086190
6,M052,J.H.S. 52 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,,DSF0001035638
6,M052,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGY (PTECH),DOE - RESOA,FY24 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,,DSF0001086191
6,M052,J.H.S. 52 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/3/2023,DOES,,DOES,483536.00,394651.00,DSF0001035166
6,M052,J.H.S. 52 - MANHATTAN,DOE - Skilled Trades,WATER MAIN REPAIR,Construction,Complete,8/4/2023,DOES,8/21/2023,DOES,80159.00,80159.00,DSF0001111807
6,M052,J.H.S. 52 - MANHATTAN,Trust For Public Land,TPL � EXTREME WEATHER PLAYGROUND UPGRADE,Construction,In-Progress,11/16/2023,TPL,,TPL,2300000.00,1470444.00,DSF0001034710
6,M090,I.S. 324 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,2/16/2023,6/16/2023,4/25/2023,12780,19247.00,19247.00,DSF0001083786
6,M090,I.S. 324 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,4/25/2023,10/25/2023,8/25/2023,57510,49962.00,4859.00,DSF0001083786
6,M090,I.S. 324 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,In-Progress,3/4/2024,3/3/2025,,741240,639053.00,53.00,DSF0001083786
6,M090,I.S. 324 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",In-Progress,3/4/2024,3/3/2025,,137385,75101.00,6089.00,DSF0001083786
6,M090,I.S. 319 - MANHATTAN,SCA CIP,COVID VENTILATION / LOW VOLTAGE ELECTRICAL SYSTEM / COVID CLIMATE CONTROL / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / REINFORCING SUPPORT ELEMENTS,Scope,Complete,8/20/2020,11/10/2022,9/9/2022,338022,325657.00,297276.00,"DSF0000961126, DSF0000943864, DSF0001009314, DSF0001018105, DSF0001018104, DSF0001018103, DSF0001018102, DSF0001018113, DSF0001068822"
6,M090,I.S. 319 - MANHATTAN,SCA CIP,COVID VENTILATION / LOW VOLTAGE ELECTRICAL SYSTEM / COVID CLIMATE CONTROL / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / REINFORCING SUPPORT ELEMENTS,Design,Complete,9/27/2022,6/12/2023,5/5/2023,1684198,1019289.00,818617.00,"DSF0000961126, DSF0000943864, DSF0001009314, DSF0001018105, DSF0001018104, DSF0001018103, DSF0001018102, DSF0001018113, DSF0001068822"
